Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
"用于“Name of Satellite, Alternate Names”的 COUNTA",,Purpose,,,,,,,,,,,,,,,,,,,,,,,
Country of Operator/Owner,Year of Launch,Communications,Communications/Earth Observation,Communications/Maritime Tracking,Communications/Navigation,Communications/Technology Development,Earth Obserevation,Earth Observation,Earth Observation ,Earth Observation/Communications,Earth Observation/Communications/Space Science,Earth Observation/Space Science,Earth Observation/Technology Development,Earth Science,Earth Science/Earth Observation,Earth Science/Space Science,Navigation/Global Positioning,Navigation/Regional Positioning,Space Observation,Space Science,Space Science/Technology Development,Technology Demonstration,Technology Development,Technology Development/Educational,总计
,2018,,,,,,1,19,,,,,,,,,6,,,,,,6,,32
China 总计,,38,,,,,1,117,1,1,,,1,1,,,28,,,14,,1,45,,248
China/Brazil,2014,,,,,,,1,,,,,,,,,,,,,,,,,1
China/Brazil 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
China/Italy,2018,,,,,,,,,,,,,1,,,,,,,,,,,1
China/Italy 总计,,,,,,,,,,,,,,1,,,,,,,,,,,1
Czech Republic,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Czech Republic 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
Denmark,2013,,,,,,,,,,,,,,,,,,,,,,1,,1
,2016,,,,,,,1,,,,,,,,,,,,,,,,,1
,2018,,,,,,,1,,,,,,,,,,,,,,,1,,2
Denmark 总计,,,,,,,,2,,,,,,,,,,,,,,,2,,4
Egypt,2000,1,,,,,,,,,,,,,,,,,,,,,,,1
,2010,1,,,,,,,,,,,,,,,,,,,,,,,1
Egypt 总计,,2,,,,,,,,,,,,,,,,,,,,,,,2
ESA,1999,,,,,,,,,,,,,,,,,,,1,,,,,1
,2000,,,,,,,,,,,,,,,,,,,4,,,,,4
,2001,,,,,,,,,,,,,,,,,,,,,1,,,1
,2009,,,,,,,1,,,,,,,,,,,,,,1,,,2
,2010,,,,,,,1,,,,,,,,,,,,,,,,,1
,2011,,,,,,,,,,,,,,,,2,,,,,,,,2
,2012,,,,,,,,,,,,,,,,2,,,,,,,,2
,2013,,,,,,,4,,,,,,,,,,,,,,,,,4
,2014,,,,,,,1,,,,,,,,,2,,,,,,,,3
,2015,,,,,,,1,,,,,,,,,6,,,,,,,,7
,2016,,,,,,,2,,,,,,,,,6,,,1,,,,,9
,2017,,,,,,,2,,,,,,,,,4,,,,,,,,6
,2018,,,,,,,1,,,,,,,,,,,,,,,,,1
ESA 总计,,,,,,,,13,,,,,,,,,22,,,6,,2,,,43
ESA/USA,1990,,,,,,,,,,,,,,,,,,,1,,,,,1
ESA/USA 总计,,,,,,,,,,,,,,,,,,,,1,,,,,1
ESA/USA/Russia,2002,,,,,,,,,,,,,,,,,,,1,,,,,1
ESA/USA/Russia 总计,,,,,,,,,,,,,,,,,,,,1,,,,,1
Finland,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
,2018,,,,,,,1,,,,,,,,,,,,,,,,,1
Finland 总计,,,,,,,,1,,,,,,,,,,,,,,,1,,2
France,2005,1,,,,,,,,,,,,,,,,,,,,,,,1
,2006,1,,,,,,,,,,,,,,,,,,,,,,,1
,2009,,,,,,,,,,,,,,,,,,,,,,2,,2
,2011,,,,,,,4,,,,,,,,,,,,,,,,,4
,2012,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,,,,,,1,,,,,,,,1,1,,3
,2018,,,,,,,,,,,,,,,,,,,1,,,,,1
France 总计,,2,,,,,,5,,,,,,1,,,,,,1,,1,3,,13
France/Belgium/Sweden,2012,,,,,,,1,,,,,,,,,,,,,,,,,1
,2014,,,,,,,1,,,,,,,,,,,,,,,,,1
France/Belgium/Sweden 总计,,,,,,,,2,,,,,,,,,,,,,,,,,2
France/Israel,2017,,,,,,,1,,,,,,,,,,,,,,,,,1
France/Israel 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
France/Italy,2011,,,,,,,1,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,,,,,,,,,,,,,,,,,,1
,2015,1,,,,,,,,,,,,,,,,,,,,,,,1
France/Italy 总计,,2,,,,,,1,,,,,,,,,,,,,,,,,3
France/Italy/Belgium/Spain/Greece,2004,,,,,,,1,,,,,,,,,,,,,,,,,1
,2009,,,,,,,1,,,,,,,,,,,,,,,,,1
France/Italy/Belgium/Spain/Greece 总计,,,,,,,,2,,,,,,,,,,,,,,,,,2
France/USA,2006,,,,,,,,,,,,,1,,,,,,,,,,,1
France/USA 总计,,,,,,,,,,,,,,1,,,,,,,,,,,1
Germany,1999,,,,,,,,,,,,,1,,,,,,,,,,,1
,2001,,,,,,,,,,,,1,,,,,,,,,,,,1
,2006,,,,,,,1,,,,,,,,,,,,,,,,,1
,2007,,,,,,,3,,,,,,,,,,,,,,,,,3
,2008,,,,,,,7,,,,,,,,,,,,,,,,,7
,2009,1,,,,,,,,,,,,,,,,,,,,,1,,2
,2010,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2012,,,,,,,,,,,,,,,,,,,,,,1,,1
,2013,1,,,,,,,,,,,,,,,,,,,,,1,,2
,2014,1,,,,,,,,,,,,,,,,,,,,,,,1
,2016,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,,,,1,,,,,,,,,,1,1,,3
,2018,,,,,,,,,,,,,,,,,,,,,,4,,4
Germany 总计,,4,,,,,,13,,,,1,1,1,,,,,,,,1,8,,29
Greece,2003,1,,,,,,,,,,,,,,,,,,,,,,,1
Greece 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Greece/United Kingdom,2017,1,,,,,,,,,,,,,,,,,,,,,,,1
Greece/United Kingdom 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
India,2002,,,,,,,1,,,,,,,,,,,,,,,,,1
,2003,,,,,1,,1,,,,,,,,,,,,,,,,,2
,2005,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2007,2,,,,,,1,,,,,,,,,,,,,,,,,3
,2008,,,,,,,1,,,,,,,,,,,,,,,,,1
,2009,,,,,,,1,,,,,,,,,,,,,,,,,1
,2010,,,,,,,1,,,,,,,,,,,,,,,,,1
,2011,1,,,1,,,1,,,,,,,,,,,,1,,,1,,5
,2012,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2013,1,,,,,,1,,,,,,,,,,1,,,,,,,3
,2014,2,,,,,,,,,,,,,,,,2,,,,,,,4
,2015,2,,,,,,,,,,,,,,,,1,,1,,,,,4
,2016,1,,,,,,4,,,,,,1,,,,3,,,,,2,,11
,2017,3,,,,,,4,,,,,,,,,,,,,,,1,,8
,2018,,,,,,,2,,,,,,,,,,1,,,,,1,,4
India 总计,,14,,,1,1,,20,,,,,,1,,,,8,,2,,,5,,52
India/Canada,2011,,,,,,,1,,,,,,,,,,,,,,,,,1
India/Canada 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
India/France,2011,,,,,,,1,,,,,,,,,,,,,,,,,1
,2013,,,,,,,1,,,,,,,,,,,,,,,,,1
India/France 总计,,,,,,,,2,,,,,,,,,,,,,,,,,2
Indonesia,1996,1,,,,,,,,,,,,,,,,,,,,,,,1
,2005,1,,,,,,,,,,,,,,,,,,,,,,,1
,2007,,,,,,,,,,,,1,,,,,,,,,,,,1
,2009,1,,,,,,,,,,,,,,,,,,,,,,,1
,2015,,,,,,,1,,,,,,,,,,,,,,,,,1
,2016,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2017,1,,,,,,,,,,,,,,,,,,,,,,,1
Indonesia 总计,,5,,,,,,2,,,,,1,,,,,,,,,,,,8
Iran,2005,1,,,,,,,,,,,,,,,,,,,,,,,1
Iran 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Iraq,2014,,,,,,,1,,,,,,,,,,,,,,,,,1
Iraq 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
Israel,2002,,,,,,,1,,,,,,,,,,,,,,,,,1
,2006,,,,,,,1,,,,,,,,,,,,,,,,,1
,2007,,,,,,,1,,,,,,,,,,,,,,,,,1
,2008,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2010,,,,,,,1,,,,,,,,,,,,,,,,,1
,2013,1,,,,,,,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2016,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,,,,,,1,,1,,,,,,,,,2
Israel 总计,,3,,,,,,7,,,,,,1,,1,,,,,,,,,12
Italy,2001,1,,,,,,,,,,,,,,,,,,,,,,,1
,2007,,,,,,,2,,,,,,,,,,,,,,,,,2
,2008,,,,,,,1,,,,,,,,,,,,,,,,,1
,2009,1,,,,,,,,,,,,,,,,,,,,,,,1
,2010,,,,,,,1,,,,,,,,,,,,,,,,,1
,2016,,,,,,,,,,,,,,,,,,,,,,1,,1
,2017,,,,,,,1,,,,,,1,,,,,,,1,,,,3
Italy 总计,,2,,,,,,5,,,,,,1,,,,,,,1,,1,,10
Japan,1997,1,,,,,,,,,,,,,,,,,,,,,,,1
,1999,1,,,,,,,,,,,,,,,,,,,,,,,1
,2000,2,,,,,,,,,,,,,,,,,,,,,,,2
,2002,2,,,,,,,,,,,,,,,,,,,,,1,,3
,2003,,,,,,,,,,,,,,,,,,,,,,1,,1
,2005,,,,,,,,,,,,,,,,,,,,,,1,,1
,2006,2,,,,,,1,,,,,,,,,,,,,,,,,3
,2007,1,,,,,,,,,,,,,,,,,,,,,,,1
,2008,1,,,,,,,,,,,,,,,,,,,,,2,,3
,2009,1,,,,,,2,,,,,,,,,,,,,,,3,,6
,2010,1,,,,,,,,,,,,,,,,1,,,,,,,2
,2011,1,,,,,,2,,,,,,,,,,,,,,,,,3
,2012,1,,,,,,,,,,,,,,,,,,,,,2,,3
,2013,,,,,,,3,,,,,,,,,,,,1,,,,,4
,2014,,,,,,,8,,,,,,,,,,,,,,,5,,13
,2015,,,,,,,2,,,,,,,,,,,,,,,,,2
,2016,3,,,,,,1,,,,,,,,,,,,1,,,2,,7
,2017,3,,,,1,,3,,,,,,,,,,3,,,,,2,,12
,2018,1,1,,,,,2,,,,,,,,,,,,,,,,,4
Japan 总计,,21,1,,,1,,24,,,,,,,,,,4,,2,,,19,,72
Kazakhstan,2011,1,,,,,,,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,2,,,,,,,,,,,,,,,,,3
,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Kazakhstan 总计,,2,,,,,,2,,,,,,,,,,,,,,,1,,5
Laos,2015,1,,,,,,,,,,,,,,,,,,,,,,,1
Laos 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Latvia,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Latvia 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
Lithuania,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Lithuania 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
Luxembourg,1994,1,,,,,,,,,,,,,,,,,,,,,,,1
,1996,1,,,,,,,,,,,,,,,,,,,,,,,1
,1997,1,,,,,,,,,,,,,,,,,,,,,,,1
,1998,1,,,,,,,,,,,,,,,,,,,,,,,1
,1999,1,,,,,,,,,,,,,,,,,,,,,,,1
,2000,2,,,,,,,,,,,,,,,,,,,,,,,2
,2001,1,,,,,,,,,,,,,,,,,,,,,,,1
,2002,1,,,,,,,,,,,,,,,,,,,,,,,1
,2006,1,,,,,,,,,,,,,,,,,,,,,,,1
,2007,1,,,,,,,,,,,,,,,,,,,,,,,1
,2008,1,,,,,,,,,,,,,,,,,,,,,,,1
,2010,1,,,,,,,,,,,,,,,,,,,,,,,1
,2011,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,1,,,,,,,,,,,,,,,,,,,,,,,1
,2013,1,,,,,,,,,,,,,,,,,,,,,,,1
,2014,2,,,,,,,,,,,,,,,,,,,,,,,2
,2018,1,,,,,,,,,,,,,,,,,,,,,,,1
Luxembourg 总计,,19,,,,,,,,,,,,,,,,,,,,,,,19
Malaysia,1996,1,,,,,,,,,,,,,,,,,,,,,,,1
,2006,1,,,,,,,,,,,,,,,,,,,,,,,1
,2009,1,,,,,,,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,,,,,,,,,,,,,,,,,,1
Malaysia 总计,,4,,,,,,,,,,,,,,,,,,,,,,,4
Mexico,1995,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,1,,,,,,,,,,,,,,,,,,,,,,,1
,2015,2,,,,,,,,,,,,,,,,,,,,,,,2
Mexico 总计,,4,,,,,,,,,,,,,,,,,,,,,,,4
Mongolia,2017,1,,,,,,,,,,,,,,,,,,,,,,,1
Mongolia 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Morocco,2017,,,,,,,1,,,,,,,,,,,,,,,,,1
Morocco 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
Morocco/Germany,2001,,,,,,,,,,,,,,,,,,,,,,1,,1
Morocco/Germany 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
Multinational,1992,,,,,,,,,,,,,,,,,,,1,,,,,1
,1997,1,,,,,,,,,,,,,,,,,,,,,,,1
,1998,,,,,,,,,,,,,,,,,,,1,,,,,1
,1999,4,,,,,,,,,,,,,,,,,,,,,,,4
,2000,2,,,,,,,,,,,,,,,,,,,,,,,2
,2001,2,,,,,,,,,,,,,,,,,,,,,,,2
,2002,3,,,,,,1,,,,,,,,,,,,,,,,,4
,2003,1,,,,,,,,,,,,,,,,,,,,,,,1
,2004,3,,,,,,,,,,,,,,,,,,,,,,,3
,2005,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2006,4,,,,,,1,,,,,,,,,,,,1,,,,,6
,2007,,,,,,,,,,,,,,,,,,,3,,,,,3
,2008,3,,,,,,,,,,,,,,,,,,,,,,,3
,2009,3,,,,,,,,,,,,,,,,,,,,,,,3
,2010,4,,,,,,,,,,,,,,,,,,,,,,,4
,2011,3,,,,,,,,,,,,,,,,,,1,,,,,4
,2012,2,,,,,,2,,,,,,,,,,,,,,,,,4
,2013,3,,,,,,,,,,,,,,,,,,1,,,,,4
,2014,2,,,,,,,,,,,,,,,,,,1,,,,,3
,2015,4,,,,,,1,,,,,,,,,,,,,,,,,5
,2016,4,,,,,,,,,,,,,,,,,,,,,,,4
,2017,1,,,,,,,,,,,,,,,,,,,,,,,1
Multinational 总计,,50,,,,,,6,,,,,,,,,,,,9,,,,,65
Netherlands,1997,1,,,,,,,,,,,,,,,,,,,,,,,1
,1998,1,,,,,,,,,,,,,,,,,,,,,,,1
,2000,1,,,,,,,,,,,,,,,,,,,,,,,1
,2002,2,,,,,,,,,,,,,,,,,,,,,,,2
,2005,1,,,,,,,,,,,,,,,,,,,,,,,1
,2008,,,,,,,,,,,,,,,,,,,,,,1,,1
,2009,2,,,,,,,,,,,,,,,,,,,,,,,2
,2013,1,,,,,,,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Netherlands 总计,,9,,,,,,,,,,,,,,,,,,,,,2,,11
Nigeria,2011,1,,,,,,1,,,,,1,,,,,,,,,,,,3
,2017,1,,,,,,,,,,,,,,,,,,,,,,,1
Nigeria 总计,,2,,,,,,1,,,,,1,,,,,,,,,,,,4
Norway,1998,1,,,,,,,,,,,,,,,,,,,,,,,1
,2008,1,,,,,,,,,,,,,,,,,,,,,,,1
,2009,1,,,,,,,,,,,,,,,,,,,,,,,1
,2010,1,,,,,,,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,,,,,,,,,,,,,,,,,,1
,2015,1,,,,,,,,,,,,,,,,,,,,,,,1
,2017,,,,,,,1,,,,,,,1,,,,,,,,,,2
Norway 总计,,6,,,,,,1,,,,,,,1,,,,,,,,,,8
Pakistan,2011,1,,,,,,,,,,,,,,,,,,,,,,,1
Pakistan 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Peru,2016,,,,,,,1,,,,,,,,,,,,,,,,,1
Peru 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
Russia,1994,1,,,,,,,,,,,,,,,,,,,,,,,1
,1999,1,,,,,,,,,,,,,,,,,,,,,,,1
,2001,2,,,,,,,,,,,,,,,,,,,,,,,2
,2002,3,,,,,,,,,,,,,,,,,,,,,,,3
,2003,3,,,,,,,,,,,,,,,,,,,,,1,,4
,2004,3,,,,,,,,,,,,,,,,,,,,,,,3
,2005,4,,,,,,,,,,,,,,,1,,,,,,,,5
,2006,,,,,,,,,,,,,,,,3,,,,,,,,3
,2007,,,,,,,1,,,,,,,,,4,,,,,,,,5
,2008,4,,,,,,,,,,,,,,,,,,,,,1,,5
,2009,4,,,,,,1,,,,,,,,,3,,,,,,,,8
,2010,6,,,,,,,,,,,,,,,5,,,,,,,,11
,2011,3,,,,,,1,,,,,,,,,5,,,,,,,,9
,2012,7,,,,,,1,,,,,,,,,,,,,,,,,8
,2013,11,,,,,,3,,,,,,,,,1,,,,,,2,,17
,2014,14,,,,,,2,,,1,,,,,,3,,,,,,2,,22
,2015,10,,,,,,4,,,,,,,,,,,,,,,1,,15
,2016,,,,,,,2,,,,,,1,,,2,,,1,,,1,,7
,2017,1,,,,1,,3,,,,,,,,,1,,2,,,,1,,9
,2018,,,,,,,3,,,,,,,,,,,,,,,,,3
Russia 总计,,77,,,,1,,21,,,1,,,1,,,28,,2,1,,,9,,141
Russia ,2014,,,,,,,1,,,,,,,,,,,,,,,,,1
,2018,1,,,,,,,,,,,,,,,,,,,,,,,1
Russia  总计,,1,,,,,,1,,,,,,,,,,,,,,,,,2
Russia/Multinational,2003,1,,,,,,,,,,,,,,,,,,,,,,,1
Russia/Multinational 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Russia/USA,2014,2,,,,,,,,,,,,,,,,,,,,,,,2
Russia/USA 总计,,2,,,,,,,,,,,,,,,,,,,,,,,2
Saudi Arabia,2002,1,,,,,,,,,,,,,,,,,,,,,,,1
,2004,,,,,,,1,,,,,,,,,,,,,,,2,,3
,2007,5,,,,,,1,,,,,,,,,,,,,,,,,6
,2014,,,,,,,,,,,,,,,,,,,1,,,,,1
Saudi Arabia 总计,,6,,,,,,2,,,,,,,,,,,,1,,,2,,11
Singapore,2011,,,,,,,1,,,,,,,,,,,,,,,,,1
,2014,,,,,,,,,,,,,,,,,,,,,,1,,1
,2015,,,,,,,2,,,,,,1,,,,,,,,,3,,6
Singapore 总计,,,,,,,,3,,,,,,1,,,,,,,,,4,,8
Singapore/Japan,2016,,,,,,,,,,,,,,,,,,,,,,1,,1
Singapore/Japan 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
Singapore/Taiwan,2011,1,,,,,,,,,,,,,,,,,,,,,,,1
Singapore/Taiwan 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Slovakia,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Slovakia 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
South Africa,2014,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,,,,,,2,,,,,,,,,,,2
South Africa 总计,,,,,,,,1,,,,,,2,,,,,,,,,,,3
South Korea,2006,1,,,,,,,,,,,1,,,,,,,,,,,,2
,2010,1,,,,,,,,1,,,,,,,,,,,,,,,2
,2012,,,,,,,1,,,,,,,,,,,,,,,,,1
,2013,,,,,,,1,,,,,,,,,,,,,,,1,,2
,2015,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,2,,,,,,,,,,,,,,,,,,1,,,,,3
,2018,,,,,,,,1,,,,,,,,,,,,,,2,,3
South Korea 总计,,4,,,,,,3,1,1,,,1,,,,,,,1,,,3,,14
Spain,2002,1,,,,,,,,,,,,,,,,,,,,,,,1
,2004,1,,,,,,,,,,,,,,,,,,,,,,,1
,2005,1,,,,,,,,,,,,,,,,,,,,,,,1
,2006,1,,,,,,,,,,,,,,,,,,,,,,,1
,2009,1,,,,1,,1,,,,,,,,,,,,,,,,,3
,2010,1,,,,,,,,,,,,,,,,,,,,,,,1
,2013,1,,,,,,,,,,,,,,,,,,,,,1,,2
,2014,1,,,,,,1,,,,,,,,,,,,,,,,,2
,2017,2,,,,,,,,,,,,,,,,,,,,,,,2
,2018,1,,,,,,1,,,,,,,,,,,,,,,,,2
Spain 总计,,11,,,,1,,3,,,,,,,,,,,,,,,1,,16
Sweden,2001,,,,,,,1,,,,,,,,,,,,,,,,,1
,2007,1,,,,,,,,,,,,,,,,,,,,,,,1
Sweden 总计,,1,,,,,,1,,,,,,,,,,,,,,,,,2
Switzerland,2009,,,,,,,,,,,,,,,,,,,,,,1,,1
,2017,,,,,,,,,,,,,,,,,,,,,,1,,1
Switzerland 总计,,,,,,,,,,,,,,,,,,,,,,,2,,2
Taiwan,2017,,,,,,,1,,,,,,1,,,,,,,,,,,2
Taiwan 总计,,,,,,,,1,,,,,,1,,,,,,,,,,,2
Taiwan/USA,2006,,,,,,,5,,,,,,,,,,,,,,,,,5
Taiwan/USA 总计,,,,,,,,5,,,,,,,,,,,,,,,,,5
Thailand,2005,1,,,,,,,,,,,,,,,,,,,,,,,1
,2006,1,,,,,,,,,,,,,,,,,,,,,,,1
,2008,,,,,,,1,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,,,,,,,,,,,,,,,,,,1
,2016,1,,,,,,,,,,,,,,,,,,,,,,,1
